code,name
000001,平安银行
000002,万 科Ａ
000003,PT金田A
000004,国农科技
000005,世纪星源
000006,深振业Ａ
000007,全新好
000008,神州高铁
000009,中国宝安
000010,美丽生态
000011,深物业A
000012,南 玻Ａ
000013,*ST石化A
000014,沙河股份
000015,PT中浩A
000016,深康佳Ａ
000018,神州长城
000019,深深宝Ａ
000020,深华发Ａ
000021,深科技
000022,深赤湾Ａ
000023,深天地Ａ
000024,招商地产
000025,特 力Ａ
000026,飞亚达Ａ
000027,深圳能源
000028,国药一致
000029,深深房Ａ
000030,富奥股份
000031,中粮地产
000032,深桑达Ａ
000033,新都退
000034,神州数码
000035,中国天楹
000036,华联控股
000037,深南电A
000038,深大通
000039,中集集团
000040,东旭蓝天
000042,中洲控股
000043,中航地产
000045,深纺织Ａ
000046,泛海控股
000047,ST中侨
000048,康达尔
000049,德赛电池
000050,深天马Ａ
000055,方大集团
000056,皇庭国际
000058,深 赛 格
000059,华锦股份
000060,中金岭南
000061,农 产 品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000066,中国长城
000068,华控赛格
000069,华侨城Ａ
000070,特发信息
000078,海王生物
000088,盐 田 港
000089,深圳机场
000090,天健集团
000096,广聚能源
000099,中信海直
000100,TCL 集团
000150,宜华健康
000151,中成股份
000153,丰原药业
000155,*ST川化
000156,华数传媒
000157,中联重科
000158,常山北明
000159,国际实业
000166,申万宏源
000301,东方市场
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000402,金 融 街
000403,ST生化
000404,华意压缩
000405,ST鑫光
000407,胜利股份
000408,藏格控股
000409,山东地矿
000410,*ST沈机
000411,英特集团
000413,东旭光电
000415,渤海金控
000416,民生控股
000417,合肥百货
000418,小天鹅Ａ
000419,通程控股
000420,吉林化纤
000421,南京公用
000422,湖北宜化
000423,东阿阿胶
000425,徐工机械
000426,兴业矿业
000428,华天酒店
000429,粤高速Ａ
000430,张家界
000488,晨鸣纸业
000498,山东路桥
000501,鄂武商Ａ
000502,绿景控股
000503,海虹控股
000504,南华生物
000505,珠江控股
000506,中润资源
000507,珠海港
000509,华塑控股
000510,金路集团
000511,*ST烯碳
000513,丽珠集团
000514,渝 开 发
000516,国际医学
000517,荣安地产
000518,四环生物
000519,中兵红箭
000520,长航凤凰
000521,美菱电器
000522,白云山A
000523,广州浪奇
000524,岭南控股
000525,红 太 阳
000526,*ST紫学
000527,美的电器
000528,柳 工
000529,广弘控股
000530,大冷股份
000531,穗恒运Ａ
000532,华金资本
000533,万 家 乐
000534,万泽股份
000536,华映科技
000537,广宇发展
000538,云南白药
000539,粤电力Ａ
000540,中天金融
000541,佛山照明
000543,皖能电力
000544,中原环保
000545,金浦钛业
000546,金圆股份
000547,航天发展
000548,湖南投资
000550,江铃汽车
000551,创元科技
000552,靖远煤电
000553,沙隆达Ａ
000554,泰山石油
000555,神州信息
000556,PT南洋
000557,西部创业
000558,莱茵体育
000559,万向钱潮
000560,昆百大Ａ
000561,烽火电子
000562,宏源证券
000563,陕国投Ａ
000564,供销大集
000565,渝三峡Ａ
000566,海南海药
000567,海德股份
000568,泸州老窖
000570,苏常柴Ａ
000571,新大洲Ａ
000572,海马汽车
000573,粤宏远Ａ
000576,广东甘化
000578,盐湖集团
000581,威孚高科
000582,北部湾港
000583,S*ST托普
000584,哈工智能
000585,东北电气
000586,汇源通信
000587,金洲慈航
000587,金洲慈航
000589,黔轮胎Ａ
000590,启迪古汉
000591,太阳能
000592,平潭发展
000593,大通燃气
000594,国恒退
000595,*ST宝实
000596,古井贡酒
000597,东北制药
000598,兴蓉环境
000599,青岛双星
000600,建投能源
000601,韶能股份
000602,金马集团
000602,金马集团
000603,盛达矿业
000605,渤海股份
000606,神州易桥
000607,华媒控股
000608,阳光股份
000609,绵石投资
000610,西安旅游
000611,天首发展
000612,焦作万方
000613,*ST东海A
000615,京汉股份
000616,海航投资
000617,中油资本
000619,海螺型材
000620,新华联
000622,恒立实业
000623,吉林敖东
000625,长安汽车
000626,远大控股
000627,天茂集团
000628,高新发展
000629,*ST钒钛
000630,铜陵有色
000631,顺发恒业
000632,三木集团
000633,合金投资
000635,英 力 特
000636,风华高科
000637,茂化实华
000638,万方发展
000639,西王食品
000650,仁和药业
000651,格力电器
000652,泰达股份
000655,金岭矿业
000656,金科股份
000657,中钨高新
000658,ST海洋
000659,*ST中富
000660,*ST南华
000661,长春高新
000662,天夏智慧
000663,永安林业
000665,湖北广电
000666,经纬纺机
000667,美好置业
000668,荣丰控股
000669,金鸿控股
000670,盈方微
000671,阳 光 城
000672,上峰水泥
000673,当代东方
000675,ST银山
000676,智度股份
000677,恒天海龙
000678,襄阳轴承
000679,大连友谊
000680,山推股份
000681,视觉中国
000682,东方电子
000683,远兴能源
000685,中山公用
000686,东北证券
000687,华讯方舟
000689,ST宏业
000690,宝新能源
000691,亚太实业
000692,惠天热电
000695,滨海能源
000697,炼石有色
000698,沈阳化工
000700,模塑科技
000701,厦门信达
000702,正虹科技
000703,恒逸石化
000705,浙江震元
000707,双环科技
000708,大冶特钢
000709,河钢股份
000710,贝瑞基因
000711,京蓝科技
000712,锦龙股份
000713,丰乐种业
000715,中兴商业
000716,黑芝麻
000717,韶钢松山
000719,大地传媒
000720,新能泰山
000721,西安饮食
000722,湖南发展
000723,美锦能源
000725,京东方Ａ
000726,鲁 泰Ａ
000727,华东科技
000728,国元证券
000729,燕京啤酒
000731,四川美丰
000733,振华科技
000735,罗 牛 山
000737,南风化工
000738,航发控制
000739,普洛药业
000748,长城信息
000750,国海证券
000751,锌业股份
000752,西藏发展
000753,漳州发展
000755,*ST三维
000756,新华制药
000757,浩物股份
000758,中色股份
000759,中百集团
000760,斯太尔
000761,本钢板材
000762,西藏矿业
000766,通化金马
000767,漳泽电力
000768,中航飞机
000776,广发证券
000777,中核科技
000778,新兴铸管
000779,三毛派神
000780,*ST平能
000782,美达股份
000783,长江证券
000785,武汉中商
000786,北新建材
000787,*ST创智
000788,北大医药
000789,万年青
000790,泰合健康
000791,甘肃电投
000792,盐湖股份
000793,华闻传媒
000796,凯撒旅游
000798,中水渔业
000799,酒鬼酒
000800,一汽轿车
000801,四川九洲
000802,北京文化
000803,*ST金宇
000805,*ST炎黄
000806,银河生物
000807,云铝股份
000810,创维数字
000811,冰轮环境
000812,陕西金叶
000813,德展健康
000815,美利云
000816,智慧农业
000818,方大化工
000819,岳阳兴长
000820,神雾节能
000821,京山轻机
000822,山东海化
000823,超声电子
000825,太钢不锈
000826,启迪桑德
000828,东莞控股
000829,天音控股
000830,鲁西化工
000831,五矿稀土
000833,贵糖股份
000835,长城动漫
000836,鑫茂科技
000837,秦川机床
000839,中信国安
000848,承德露露
000850,华茂股份
000851,高鸿股份
000852,石化机械
000856,冀东装备
000858,五 粮 液
000859,国风塑业
000860,顺鑫农业
000862,银星能源
000868,安凯客车
000869,张 裕Ａ
000875,吉电股份
000876,新 希 望
000877,天山股份
000878,云南铜业
000880,潍柴重机
000881,中广核技
000882,华联股份
000883,湖北能源
000885,同力水泥
000886,海南高速
000887,中鼎股份
000888,峨眉山Ａ
000889,茂业通信
000890,法 尔 胜
000892,欢瑞世纪
000893,东凌国际
000895,双汇发展
000898,鞍钢股份
000899,赣能股份
000900,现代投资
000901,航天科技
000902,新洋丰
000903,云内动力
000905,厦门港务
000906,浙商中拓
000908,景峰医药
000909,数源科技
000910,大亚圣象
000911,南宁糖业
000912,泸天化
000913,钱江摩托
000915,山大华特
000916,华北高速
000917,电广传媒
000919,金陵药业
000920,南方汇通
000921,海信科龙
000922,*ST佳电
000923,河北宣工
000925,众合科技
000927,一汽夏利
000928,中钢国际
000929,兰州黄河
000930,中粮生化
000932,*ST华菱
000933,神火股份
000935,四川双马
000936,华西股份
000937,冀中能源
000938,紫光股份
000939,凯迪生态
000948,南天信息
000949,新乡化纤
000950,*ST建峰
000951,中国重汽
000952,广济药业
000953,*ST河化
000955,欣龙控股
000957,中通客车
000958,东方能源
000959,首钢股份
000960,锡业股份
000961,中南建设
000962,东方钽业
000963,华东医药
000966,长源电力
000967,盈峰环境
000968,蓝焰控股
000969,安泰科技
000970,中科三环
000971,高升控股
000972,*ST中基
000973,佛塑科技
000976,华铁股份
000977,浪潮信息
000978,桂林旅游
