code,name
000022,深赤湾Ａ
000088,盐 田 港
000089,深圳机场
000099,中信海直
000421,南京公用
000507,珠海港
000520,长航凤凰
000582,北部湾港
000594,国恒退
000905,厦门港务
000920,南方汇通
000996,中国中期
002040,南 京 港
002183,怡 亚 通
002210,飞马国际
002245,澳洋顺昌
002320,海峡股份
002357,富临运业
002367,康力电梯
002448,中原内配
002492,恒基达鑫
002592,八菱科技
002627,宜昌交运
002682,龙洲股份
002689,远大智能
002711,欧浦智网
300011,鼎汉技术
300013,新宁物流
300240,飞力达
300350,华鹏飞
600004,白云机场
600009,上海机场
600017,日照港
600018,上港集团
600026,中远海能
600029,南方航空
600057,象屿股份
600087,退市长油
600115,东方航空
600119,长江投资
600125,铁龙物流
600180,瑞茂通
600190,锦州港
600221,海航控股
600242,中昌数据
600270,外运发展
600279,重庆港九
600317,营口港
600386,北巴传媒
600428,中远海特
600495,晋西车轴
600561,江西长运
600575,皖江物流
600611,大众交通
600650,锦江投资
600662,强生控股
600692,亚通股份
600708,光明地产
600717,天津港
600751,天海投资
600787,中储股份
600794,保税科技
600798,宁波海运
600834,申通地铁
600835,上海机电
600894,广日股份
600896,览海投资
600897,厦门空港
600967,内蒙一机
601000,唐山港
601006,大秦铁路
601008,连云港
601018,宁波港
601021,春秋航空
601111,中国国航
601299,中国北车
601313,江南嘉捷
601333,广深铁路
601766,中国中车
601866,中远海发
601872,招商轮船
601880,大连港
601919,中远海控
603111,康尼机电
603128,华贸物流
603167,渤海轮渡
603611,诺力股份
