code,name
000003,PT金田A
000013,*ST石化A
000015,PT中浩A
000047,ST中侨
000405,ST鑫光
000511,*ST烯碳
000556,PT南洋
000583,S*ST托普
000658,ST海洋
000660,*ST南华
000675,ST银山
000689,ST宏业
600065,*ST联谊
600092,S*ST精密
600172,黄河旋风
600516,方大炭素
600607,上实医药
600625,PT水仙
600670,*ST斯达
600700,*ST数码
600709,ST生态
600752,*ST哈慈
600783,鲁信创投
600788,*ST达曼
600813,ST鞍一工
600849,上药转换
600852,*ST中川
600899,*ST信联
603022,新通联
603023,威帝股份
603026,石大胜华
603108,润达医疗
603116,红蜻蜓
603198,迎驾贡酒
603227,雪峰科技
603300,华铁科技
603311,金海环境
603566,普莱柯
603568,伟明环保
603598,引力传媒
603669,灵康药业
603688,石英股份
603718,海利生物
603885,吉祥航空
603901,永创智能
603918,金桥信息
603968,醋化股份
603989,艾华集团
900901,云赛Ｂ股
900902,市北B股
900903,大众Ｂ股
900904,神奇B股
900905,老凤祥Ｂ
900906,中毅达B
900907,鹏起Ｂ股
900908,氯碱Ｂ股
900909,华谊B股
900910,海立Ｂ股
900911,金桥Ｂ股
900912,外高Ｂ股
900913,国新B股
900914,锦投Ｂ股
900915,中路Ｂ股
900916,凤凰B股
900917,海欣Ｂ股
900918,耀皮Ｂ股
900919,绿庭B股
900920,上柴Ｂ股
900921,*ST丹科B
900922,三毛B股
900923,百联Ｂ股
900924,上工Ｂ股
900925,机电Ｂ股
900926,宝信Ｂ
900927,物贸Ｂ股
900928,临港B股
900929,锦旅Ｂ股
900930,*ST沪普B
900932,陆家Ｂ股
900933,华新Ｂ股
900934,锦江Ｂ股
900935,阳晨Ｂ股
900936,鄂资Ｂ股
900937,华电Ｂ股
900938,天海B
900939,汇丽B
900940,大名城B
900941,东信Ｂ股
900942,黄山Ｂ股
900943,开开Ｂ股
900945,海控Ｂ股
900946,天雁B股
900947,振华Ｂ股
900948,伊泰Ｂ股
900951,*ST大化B
900952,锦港Ｂ股
900953,凯马Ｂ
900955,海创B股
900956,东贝Ｂ股
900957,凌云Ｂ股
