code,name
000048,康达尔
000061,农 产 品
000592,平潭发展
000663,永安林业
000702,正虹科技
000713,丰乐种业
000735,罗 牛 山
000798,中水渔业
000876,新 希 望
000998,隆平高科
002041,登海种业
002069,獐子岛
002086,东方海洋
002100,天康生物
002124,天邦股份
002157,正邦科技
002173,创新医疗
002234,民和股份
002299,圣农发展
002311,海大集团
002321,华英农业
002385,大北农
002447,壹桥股份
002458,益生股份
002477,雏鹰农牧
002505,大康农业
002548,金新农
002567,唐人神
002679,福建金森
002696,百洋股份
002714,牧原股份
002746,仙坛股份
300021,大禹节水
300087,荃银高科
300094,国联水产
300106,西部牧业
300143,星普医科
300189,神农基因
300268,佳沃股份
300313,天山生物
300381,溢多利
600097,开创国际
600108,亚盛集团
600127,金健米业
600189,吉林森工
600195,中牧股份
600251,冠农股份
600257,大湖股份
600265,ST景谷
600275,*ST昌鱼
600313,农发种业
600354,敦煌种业
600359,新农开发
600371,万向德农
600438,通威股份
600467,好当家
600506,香梨股份
600540,*ST新赛
600598,北大荒
600965,福成股份
600975,新五丰
601996,丰林集团
603609,禾丰牧业
