code,name
000155,*ST川化
000422,湖北宜化
000525,红 太 阳
000553,沙隆达Ａ
000731,四川美丰
000792,盐湖股份
000830,鲁西化工
000902,新洋丰
000912,泸天化
000950,*ST建峰
000953,*ST河化
002004,华邦健康
002018,华信国际
002113,天润数娱
002170,芭田股份
002215,诺 普 信
002258,利尔化学
002274,华昌化工
002391,长青股份
002470,金正大
002496,辉丰股份
002513,*ST蓝丰
002538,司尔特
002539,云图控股
002588,史丹利
002734,利民股份
002749,国光股份
300261,雅本化学
600096,云天化
600226,升华拜克
600227,赤天化
600230,沧州大化
600389,江山股份
600423,柳化股份
600426,华鲁恒升
600470,六国化工
600486,扬农化工
600538,国发股份
600596,新安股份
600691,阳煤化工
600727,鲁北化工
600731,湖南海利
600796,钱江生化
600803,新奥股份
603599,广信股份
