code,name
000026,飞亚达Ａ
000028,国药一致
000062,深圳华强
000408,金谷源
000411,英特集团
000416,民生控股
000417,合肥百货
000419,通程控股
000501,鄂武商Ａ
000516,国际医学
000560,昆百大Ａ
000564,供销大集
000587,金洲慈航
000591,太阳能
000638,万方发展
000679,大连友谊
000705,浙江震元
000715,中兴商业
000759,中百集团
000785,武汉中商
000829,天音控股
000882,华联股份
000889,茂业通信
000906,浙商中拓
000987,越秀金控
002024,苏宁云商
002187,广百股份
002251,步 步 高
002264,新 华 都
002277,友阿股份
002336,人人乐
002344,海宁皮城
002416,爱施德
002419,天虹股份
002441,众业达
002462,嘉事堂
002556,辉隆股份
002561,徐家汇
002589,瑞康医药
002697,红旗连锁
300022,吉峰农机
300413,快乐购
600056,中国医药
600122,宏图高科
600136,当代明诚
600280,中央商场
600306,商业城
600327,大东方
600361,华联综超
600415,小商品城
600511,国药股份
600515,海航基础
600628,新世界
600655,豫园商城
600682,南京新百
600693,东百集团
600694,大商股份
600697,欧亚集团
600712,南宁百货
600713,南京医药
600723,首商股份
600729,重庆百货
600738,兰州民百
600753,东方银星
600774,汉商集团
600778,友好集团
600785,新华百货
600790,轻纺城
600814,杭州解百
600821,津劝业
600824,益民集团
600827,百联股份
600828,茂业商业
600833,第一医药
600838,上海九百
600856,中天能源
600857,宁波中百
600858,银座股份
600859,王府井
600861,北京城乡
600865,百大集团
600891,秋林集团
600898,三联商社
600998,九州通
601010,文峰股份
601116,三江购物
601607,上海医药
601933,永辉超市
603123,翠微股份
603368,柳州医药
603883,老百姓
603939,益丰药房
