code,name
000010,美丽生态
000023,深天地Ａ
000055,方大集团
000065,北方国际
000090,天健集团
000498,山东路桥
000509,华塑控股
000619,海螺型材
000786,北新建材
000928,中钢国际
000961,中南建设
002043,兔 宝 宝
002047,宝鹰股份
002051,中工国际
002060,粤 水 电
002062,宏润建设
002066,瑞泰科技
002081,金 螳 螂
002116,中国海诚
002135,东南网架
002140,东华科技
002163,中航三鑫
002178,延华智能
002205,国统股份
002225,濮耐股份
002247,帝龙文化
002271,东方雨虹
002307,北新路桥
002310,东方园林
002314,南山控股
002325,洪涛股份
002372,伟星新材
002375,亚厦股份
002392,北京利尔
002398,建研集团
002431,棕榈股份
002468,申通快递
002469,三维工程
002482,广田集团
002542,中化岩土
002586,围海股份
002596,海南瑞泽
002620,瑞和股份
002628,成都路桥
002652,扬子新材
002659,中泰桥梁
002663,普邦股份
002671,龙泉股份
002713,东易日盛
002717,岭南园林
002738,中矿资源
002742,三圣股份
300080,易成新能
300117,嘉寓股份
300163,先锋新材
300284,苏交科
300344,太空板业
300374,恒通科技
600039,四川路桥
600068,葛洲坝
600170,上海建工
600248,XD延长化
600284,浦东建设
600321,国栋建设
600326,西藏天路
600491,龙元建设
600502,安徽水利
600512,腾达建设
600528,中铁工业
600545,新疆城建
600634,富控互动
600681,百川能源
600820,隧道股份
600853,龙建股份
600970,中材国际
600986,科达股份
601117,中国化学
601186,中国铁建
601390,中国中铁
601618,中国中冶
601668,中国建筑
601669,中国电建
601789,宁波建工
601800,中国交建
601886,江河集团
603017,中衡设计
603018,中设集团
603030,全筑股份
603828,柯利达
603969,银龙股份
