code,name
000002,万 科Ａ
000005,世纪星源
000006,深振业Ａ
000009,中国宝安
000011,深物业A
000014,沙河股份
000024,招商地产
000029,深深房Ａ
000031,中粮地产
000036,华联控股
000038,深大通
000040,东旭蓝天
000042,中洲控股
000043,中航地产
000046,泛海控股
000056,皇庭国际
000402,金 融 街
000502,绿景控股
000505,珠江控股
000506,中润资源
000514,渝 开 发
000517,荣安地产
000526,*ST紫学
000534,万泽股份
000537,广宇发展
000540,中天金融
000558,莱茵体育
000567,海德股份
000573,粤宏远Ａ
000608,阳光股份
000609,绵石投资
000616,海航投资
000620,新华联
000631,顺发恒业
000656,金科股份
000667,美好置业
000668,荣丰控股
000671,阳 光 城
000691,亚太实业
000718,苏宁环球
000732,泰禾集团
000736,中交地产
000797,中国武夷
000809,*ST新城
000838,财信发展
000861,海印股份
000863,三湘印象
000897,津滨发展
000918,嘉凯城
000926,福星股份
000931,中 关 村
000965,天保基建
000979,中弘股份
000981,银亿股份
002016,世荣兆业
002077,大港股份
002133,广宇集团
002146,荣盛发展
002208,合肥城建
002244,滨江集团
002285,世联行
002305,南国置业
600048,保利地产
600052,浙江广厦
600053,九鼎投资
600067,冠城大通
600077,宋都股份
600082,海泰发展
600094,大名城
600095,哈高科
600113,浙江东日
600133,东湖高新
600159,大龙地产
600162,香江控股
600173,卧龙地产
600175,美都能源
600185,格力地产
600208,新湖中宝
600223,鲁商置业
600225,*ST松江
600239,云南城投
600240,华业资本
600246,万通地产
600266,北京城建
600322,天房发展
600325,华发股份
600340,华夏幸福
600376,首开股份
600383,金地集团
600393,粤泰股份
600463,空港股份
600503,华丽家族
600510,黑牡丹
600533,栖霞建设
600565,迪马股份
600568,中珠医疗
600606,绿地控股
600615,丰华股份
600621,华鑫股份
600638,新黄浦
600641,万业企业
600657,信达地产
600663,陆家嘴
600665,天地源
600675,中华企业
600683,京投发展
600684,珠江实业
600696,*ST匹凸
600716,凤凰股份
600724,宁波富达
600732,ST新梅
600733,S*ST前锋
600743,华远地产
600745,闻泰科技
600748,上实发展
600767,*ST运盛
600773,西藏城投
600791,京能置业
600807,天业股份
600823,世茂股份
600862,中航高科
600890,中房股份
601588,北辰实业
