code,name
000060,中金岭南
000426,兴业矿业
000587,金洲慈航
000602,金马集团
000603,盛达矿业
000612,焦作万方
000630,铜陵有色
000657,中钨高新
000697,炼石有色
000751,锌业股份
000758,中色股份
000762,西藏矿业
000807,云铝股份
000831,五矿稀土
000878,云南铜业
000960,锡业股份
000962,东方钽业
002082,栋梁新材
002114,罗平锌电
002149,西部材料
002155,湖南黄金
002160,常铝股份
002167,东方锆业
002171,楚江新材
002182,云海金属
002203,海亮股份
002237,恒邦股份
002295,精艺股份
002333,罗普斯金
002340,格林美
002378,章源钨业
002379,宏创控股
002428,云南锗业
002460,赣锋锂业
002501,利源精制
002540,亚太科技
002578,闽发铝业
002617,露笑科技
300034,钢研高纳
600111,北方稀土
600139,西部资源
600205,S山东铝
600219,南山铝业
600255,梦舟股份
600259,广晟有色
600296,S兰铝
600311,荣华实业
600331,宏达股份
600338,西藏珠峰
600362,江西铜业
600390,五矿资本
600432,*ST吉恩
600456,宝钛股份
600459,贵研铂业
600489,中金黄金
600497,驰宏锌锗
600531,豫光金铅
600547,山东黄金
600549,厦门钨业
600595,中孚实业
600673,东阳光科
600711,盛屯矿业
600714,金瑞矿业
600768,宁波富邦
600888,新疆众和
600961,株冶集团
601137,博威合金
601168,西部矿业
601600,中国铝业
601677,明泰铝业
601899,紫金矿业
601958,金钼股份
