code,name
002003,伟星股份
002029,七 匹 狼
002036,联创电子
002044,美年健康
002098,浔兴股份
002154,报 喜 鸟
002239,奥特佳
002269,美邦服饰
002291,星期六
002293,罗莱生活
002327,富安娜
002345,潮宏基
002397,梦洁股份
002425,凯撒文化
002485,希努尔
002486,嘉麟杰
002494,华斯股份
002503,搜于特
002517,恺英网络
002563,森马服饰
002569,步森股份
002574,明牌珠宝
002612,朗姿股份
002634,棒杰股份
002640,跨境通
002656,摩登大道
002674,兴业科技
002687,乔治白
002731,萃华珠宝
002740,爱迪尔
300005,探路者
600086,东方金钰
600107,美尔雅
600137,浪莎股份
600177,雅戈尔
600233,圆通速递
600272,开开实业
600295,鄂尔多斯
600398,海澜之家
600400,红豆股份
600439,瑞贝卡
600612,老凤祥
600884,杉杉股份
601566,九牧王
601718,际华集团
603001,奥康国际
603518,维格娜丝
603555,贵人鸟
603808,歌力思
