code,name
000039,中集集团
000157,中联重科
000404,华意压缩
000410,*ST沈机
000425,徐工机械
000519,中兵红箭
000528,柳 工
000530,大冷股份
000551,创元科技
000570,苏常柴Ａ
000595,*ST宝实
000617,中油资本
000678,襄阳轴承
000680,山推股份
000777,中核科技
000811,冰轮环境
000816,智慧农业
000821,京山轻机
000837,秦川机床
000852,石化机械
000856,冀东装备
000880,潍柴重机
000903,云内动力
000923,河北宣工
000925,众合科技
002006,精功科技
002009,天奇股份
002011,盾安环境
002026,山东威达
002046,轴研科技
002050,三花智控
002097,山河智能
002101,广东鸿图
002122,天马股份
002131,利欧股份
002147,新光圆成
002150,通润装备
002158,汉钟精机
002204,大连重工
002209,达 意 隆
002248,*ST东数
002255,海陆重工
002270,华明装备
002272,川润股份
002278,神开股份
002282,博深工具
002328,新朋股份
600031,三一重工
600114,东睦股份
600149,*ST坊展
600169,太原重工
600218,全柴动力
600243,青海华鼎
600262,北方股份
600320,振华重工
600346,恒力股份
600388,龙净环保
600421,仰帆控股
600435,北方导航
600475,华光股份
600499,科达洁能
600520,文一科技
600526,菲达环保
600579,天华院
600582,天地科技
600592,龙溪股份
600619,海立股份
600710,ST常林
600761,安徽合力
600765,中航重机
600806,*ST昆机
600815,*ST厦工
600841,上柴股份
600855,航天长峰
600860,*ST京城
600984,建设机械
601002,晋亿实业
601038,一拖股份
601100,恒立液压
601106,*ST一重
601177,杭齿前进
601218,吉鑫科技
601226,华电重工
601268,*ST二重
601369,陕鼓动力
601608,中信重工
601717,郑煤机
601798,蓝科高新
603011,合锻智能
603012,创力集团
603088,宁波精达
603169,兰石重装
603308,应流股份
603315,福鞍股份
603318,派思股份
603338,浙江鼎力
603355,莱克电气
603698,航天工程
603699,纽威股份
603789,星光农机
