code,name
000025,特 力Ａ
000030,富奥股份
000338,潍柴动力
000550,江铃汽车
000559,万向钱潮
000572,海马汽车
000581,威孚高科
000589,黔轮胎Ａ
000599,青岛双星
000622,恒立实业
000625,长安汽车
000700,模塑科技
000710,贝瑞基因
000753,漳州发展
000757,浩物股份
000760,斯太尔
000800,一汽轿车
000868,安凯客车
000927,一汽夏利
000951,中国重汽
000957,中通客车
002013,中航机电
002031,巨轮智能
002048,宁波华翔
002085,万丰奥威
002126,银轮股份
002190,成飞集成
002213,特 尔 佳
002265,西仪股份
002283,天润曲轴
002284,亚太股份
002355,兴民智通
002363,隆基机械
002406,远东传动
002434,万里扬
002454,松芝股份
002488,金固股份
002510,天汽模
002536,西泵股份
002555,三七互娱
002590,万安科技
002593,日上集团
002594,比亚迪
002602,世纪华通
002607,亚夏汽车
002625,光启技术
002662,京威股份
002703,浙江世宝
002708,光洋股份
002715,登云股份
002725,跃岭股份
300100,双林股份
300176,鸿特精密
300258,精锻科技
300304,云意电气
600006,东风汽车
600066,宇通客车
600081,东风科技
600093,易见股份
600104,上汽集团
600148,长春一东
600166,福田汽车
600178,东安动力
600182,S佳通
600213,亚星客车
600303,曙光股份
600335,国机汽车
600375,华菱星马
600418,江淮汽车
600469,风神股份
600480,凌云股份
600501,航天晨光
600523,贵航股份
600609,金杯汽车
600623,华谊集团
600653,申华控股
600660,福耀玻璃
600676,交运股份
600686,金龙汽车
600698,湖南天雁
600699,均胜电子
600715,文投控股
600741,华域汽车
600742,一汽富维
600760,中航黑豹
600960,渤海活塞
601058,赛轮金宇
601238,广汽集团
601258,庞大集团
601633,长城汽车
601689,拓普集团
601799,星宇股份
601965,中国汽研
603006,联明股份
603009,北特科技
603158,腾龙股份
603166,福达股份
603306,华懋科技
603788,宁波高发
603997,继峰股份
