code,name
000027,深圳能源
000037,深南电A
000531,穗恒运Ａ
000539,粤电力Ａ
000543,皖能电力
000600,建投能源
000601,韶能股份
000602,金马集团
000690,宝新能源
000720,新能泰山
000722,湖南发展
000767,漳泽电力
000791,甘肃电投
000862,银星能源
000875,吉电股份
000883,湖北能源
000899,赣能股份
000939,凯迪生态
000958,东方能源
000966,长源电力
000993,闽东电力
001896,豫能控股
002039,黔源电力
002479,富春环保
002692,睿康股份
300423,鲁亿通
600011,华能国际
600021,上海电力
600023,浙能电力
600027,华电国际
600098,广州发展
600101,明星电力
600110,诺德股份
600116,三峡水利
600131,岷江水电
600236,桂冠电力
600310,桂东电力
600396,金山股份
600452,涪陵电力
600483,福能股份
600505,西昌电力
600509,天富能源
600578,京能电力
600642,申能股份
600644,乐山电力
600674,川投能源
600726,华电能源
600744,华银电力
600769,祥龙电业
600780,通宝能源
600795,国电电力
600863,内蒙华电
600864,哈投股份
600868,梅雁吉祥
600869,智慧能源
600886,国投电力
600900,长江电力
600969,郴电国际
600979,广安爱众
600995,文山电力
601016,节能风电
601991,大唐发电
