code,name
000021,深科技
000032,深桑达Ａ
000035,中国天楹
000063,中兴通讯
000066,中国长城
000070,特发信息
000503,海虹控股
000532,华金资本
000547,航天发展
000555,神州信息
000561,烽火电子
000586,汇源通信
000681,视觉中国
000711,京蓝科技
000748,长城信息
000787,*ST创智
000801,四川九洲
000805,*ST炎黄
000836,鑫茂科技
000851,高鸿股份
000892,欢瑞世纪
000938,紫光股份
000948,南天信息
000970,中科三环
000977,浪潮信息
000997,新 大 陆
002017,东信和平
002027,分众传媒
002052,同洲电子
002063,远光软件
002065,东华软件
002073,软控股份
002089,新 海 宜
002090,金智科技
002093,国脉科技
002095,生 意 宝
002115,三维通信
002148,北纬科技
002151,北斗星通
002152,广电运通
002153,石基信息
002161,远 望 谷
002174,游族网络
002177,御银股份
002180,纳思达
002184,海得控制
002194,武汉凡谷
002195,二三四五
002230,科大讯飞
002231,奥维通信
002232,启明信息
002253,川大智胜
002261,拓维信息
002268,卫 士 通
002279,久其软件
002280,联络互动
002281,光迅科技
002296,辉煌科技
002308,威创股份
002312,*ST三泰
002313,日海通讯
002315,焦点科技
002316,键桥通讯
002331,皖通科技
002351,漫步者
002354,天神娱乐
002362,汉王科技
002368,太极股份
002369,卓翼科技
002373,千方科技
002376,新北洋
002383,合众思壮
002384,东山精密
002396,星网锐捷
002401,中远海科
002405,四维图新
002410,广联达
002417,三元达
002421,达实智能
002439,启明星辰
002446,盛路通信
002465,海格通信
002467,二六三
002474,榕基软件
002491,通鼎互联
002519,银河电子
002528,英飞拓
002544,杰赛科技
002547,春兴精工
002577,雷柏科技
002583,海能达
002609,捷顺科技
002635,安洁科技
002642,荣之联
002649,博彦科技
002657,中科金财
300002,神州泰岳
300010,立思辰
300017,网宿科技
300020,银江股份
300025,华星创业
300028,金亚科技
300033,同花顺
300036,超图软件
300038,梅泰诺
300042,朗科科技
300044,赛为智能
300045,华力创通
300047,天源迪科
300050,世纪鼎利
300051,三五互联
300052,中青宝
300059,东方财富
300065,海兰信
300074,华平股份
300075,数字政通
300076,GQY视讯
300079,数码科技
300081,恒信东方
300085,银之杰
300096,易联众
300098,高新兴
300101,振芯科技
300104,乐视网
300113,顺网科技
300130,新国都
300134,大富科技
300136,信维通信
300150,世纪瑞尔
300166,东方国信
300167,迪威迅
300168,万达信息
300170,汉得信息
300177,中海达
300182,捷成股份
300183,东软载波
300188,美亚柏科
300209,天泽信息
300211,亿通科技
300212,易华录
300213,佳讯飞鸿
300226,上海钢联
300229,拓尔思
300231,银信科技
300235,方直科技
300245,天玑科技
300248,新开普
300250,初灵信息
300253,卫宁健康
300264,佳创视讯
300270,中威电子
300271,华宇软件
300275,梅安森
300277,海联讯
300282,汇冠股份
300287,飞利信
300288,朗玛信息
300290,荣科科技
300292,吴通控股
300295,三六五网
300297,蓝盾股份
300299,富春股份
300300,汉鼎宇佑
300302,同有科技
300310,宜通世纪
300311,任子行
300312,邦讯技术
300315,掌趣科技
300322,硕贝德
300324,旋极信息
300330,华虹计通
300333,兆日科技
300339,润和软件
300348,长亮科技
300352,北信源
300353,东土科技
300359,全通教育
300365,恒华科技
300366,创意信息
300367,东方网力
300369,绿盟科技
300377,赢时胜
300378,鼎捷软件
300379,东方通
300380,安硕信息
300383,光环新网
300386,飞天诚信
300390,天华超净
300392,腾信股份
300394,天孚通信
300397,天和防务
300399,京天利
300418,昆仑万维
300419,浩丰科技
300431,暴风集团
300440,运达科技
300448,浩云科技
300449,汉邦高科
600050,中国联通
600074,ST保千里
600076,康欣新材
600100,同方股份
600105,永鼎股份
600130,波导股份
600198,大唐电信
600271,航天信息
600288,大恒科技
600289,ST信通
600330,天通股份
600345,长江通信
600406,国电南瑞
600410,华胜天成
600446,金证股份
600455,博通股份
600476,湘邮科技
600485,信威集团
600487,亨通光电
600498,烽火通信
600522,中天科技
600536,中国软件
600556,ST慧球
600562,国睿科技
600570,恒生电子
600571,信雅达
600588,用友网络
600601,方正科技
600608,*ST沪科
600654,*ST中安
600677,航天通信
600680,*ST上普
600718,东软集团
600728,佳都科技
600734,实达集团
600756,浪潮软件
600764,中电广通
600775,南京熊猫
600776,东方通信
600797,浙大网新
600804,鹏博士
600845,宝信软件
600850,华东电脑
600990,四创电子
601519,*ST智慧
603000,人民网
603019,中科曙光
603025,大豪科技
603636,南威软件
