code,name
000020,深华发Ａ
000050,深天马Ａ
000058,深 赛 格
000068,华控赛格
000413,东旭光电
000536,华映科技
000636,风华高科
000670,盈方微
000725,京东方Ａ
000727,华东科技
000733,振华科技
000810,创维数字
000823,超声电子
002025,航天电器
002045,国光电器
002049,紫光国芯
002055,得润电子
002056,横店东磁
002057,中钢天源
002079,苏州固锝
002104,恒宝股份
002106,莱宝高科
002119,康强电子
002129,中环股份
002134,*ST普林
002137,麦达数字
002138,顺络电子
002139,拓邦股份
002141,贤丰控股
002156,通富微电
002179,中航光电
002185,华天科技
002188,巴士在线
002189,利达光电
002199,东晶电子
002217,合力泰
002218,拓日新能
002222,福晶科技
002241,歌尔股份
002273,水晶光电
002288,超华科技
002289,宇顺电子
002371,北方华创
002388,新亚制程
002389,南洋科技
002402,和而泰
002426,胜利精密
002436,兴森科技
002449,国星光电
002456,欧菲科技
002463,沪电股份
002475,立讯精密
002484,江海股份
002504,*ST弘高
002506,协鑫集成
002512,达华智能
002579,中京电子
002587,奥拓电子
002600,江粉磁材
002618,丹邦科技
002636,金安国纪
002638,勤上股份
002654,万润科技
002655,共达电声
002724,海洋王
002729,好利来
002745,木林森
300014,亿纬锂能
600083,博信股份
600151,航天机电
600171,上海贝岭
600183,生益科技
600203,福日电子
600206,有研新材
600207,安彩高科
600237,铜峰电子
600353,旭光股份
600355,精伦电子
600360,华微电子
600363,联创光电
600401,*ST海润
600460,士兰微
600478,科力远
600537,亿晶光电
600563,法拉电子
600584,长电科技
600602,云赛智联
600667,太极实业
600703,三安光电
600707,彩虹股份
600747,*ST大控
600817,*ST宏盛
600980,北矿科技
601012,隆基股份
601231,环旭电子
601908,京运通
603005,晶方科技
603118,共进股份
603328,依顿电子
603678,火炬电子
