code,name
000018,神州长城
000045,深纺织Ａ
000158,常山股份
000611,*ST天首
000726,鲁 泰Ａ
000779,三毛派神
000803,*ST金宇
000813,德展健康
000850,华茂股份
000955,欣龙控股
000971,高升控股
000982,*ST 中绒
002034,美 欣 达
002042,华孚色纺
002070,*ST众和
002072,凯瑞德
002083,孚日股份
002087,新野纺织
002127,南极电商
002144,宏达高科
002193,山东如意
002394,联发股份
002404,嘉欣丝绸
002516,旷达科技
600070,浙江富润
600152,维科精华
600156,华升股份
600220,江苏阳光
600232,金鹰股份
600370,三房巷
600448,华纺股份
600493,凤竹纺织
600626,申达股份
600630,龙头股份
600689,上海三毛
600735,新华锦
600851,海欣股份
600987,航民股份
601339,百隆东方
601599,鹿港文化
603558,健盛集团
603889,新澳股份
