code,name
000409,山东地矿
000629,*ST钒钛
000655,金岭矿业
000708,大冶特钢
000709,河钢股份
000717,韶钢松山
000761,本钢板材
000778,新兴铸管
000825,太钢不锈
000890,法 尔 胜
000898,鞍钢股份
000932,*ST华菱
000959,首钢股份
000969,安泰科技
002075,沙钢股份
002110,三钢闽光
002132,恒星科技
002318,久立特材
002359,北讯集团
002423,中原特钢
002443,金洲管道
002478,常宝股份
002487,大金重工
002524,光正集团
002541,鸿路钢构
002545,东方铁塔
002615,哈尔斯
002743,富煌钢构
300345,红宇新材
600005,武钢股份
600010,包钢股份
600019,宝钢股份
600022,山东钢铁
600117,西宁特钢
600126,杭钢股份
600165,新日恒力
600193,创兴资源
600231,凌钢股份
600282,南钢股份
600307,酒钢宏兴
600399,抚顺特钢
600477,杭萧钢构
600496,精工钢构
600507,方大特钢
600532,宏达矿业
600558,大西洋
600569,安阳钢铁
600581,八一钢铁
600782,新钢股份
600784,鲁银投资
600808,马钢股份
600882,广泽股份
600992,贵绳股份
601003,柳钢股份
601005,*ST重钢
601028,玉龙股份
601969,海南矿业
