code,name
000019,深深宝Ａ
000529,广弘控股
000639,西王食品
000716,黑芝麻
000796,凯撒旅游
000848,承德露露
000893,东凌国际
000895,双汇发展
000911,南宁糖业
000930,中粮生化
000972,*ST中基
002216,三全食品
002220,天宝食品
002286,保龄宝
002329,皇氏集团
002330,得利斯
002387,黑牛食品
002481,双塔食品
002495,佳隆股份
002507,涪陵榨菜
002515,金字火腿
002557,洽洽食品
002568,百润股份
002570,贝因美
002582,好想你
002604,龙力生物
002626,金达威
002650,加加食品
002661,克明面业
002695,煌上煌
002702,海欣食品
002719,麦趣尔
002726,龙大肉食
002732,燕塘乳业
300138,晨光生物
300146,汤臣倍健
300149,量子高科
300175,朗源股份
300401,花园生物
600073,上海梅林
600186,莲花健康
600191,华资实业
600260,凯乐科技
600298,安琪酵母
600300,维维股份
600305,恒顺醋业
600419,天润乳业
600429,三元股份
600597,光明乳业
600695,绿庭投资
600737,中粮糖业
600866,星湖科技
600872,中炬高新
600873,梅花生物
600887,伊利股份
600962,国投中鲁
603020,爱普股份
603288,海天味业
