,broker,count,bamount,bcount,samount,scount,top3
0,中国中投证券有限责任公司深圳深南大道证券营业部,2,190.36,2,0.0,0,"凯撒旅游,拉夏贝尔"
1,招商证券股份有限公司北京建国路证券营业部,5,2209.41,2,2564.68,3,"创业黑马,紫光国芯,天玑科技,"
2,平安证券股份有限公司芜湖江北证券营业部,3,595.06,2,1.61,1,"赛隆药业,电工合金,拉夏贝尔"
3,上海证券有限责任公司南桥证券营业部,1,0.0,0,1.61,1,拉夏贝尔
4,中国中投证券有限责任公司深圳坪山和平路证券营业部,2,1541.36,1,2060.44,1,韦尔股份
5,财富证券有限责任公司温州车站大道证券营业部,3,1374.48,1,480.87,2,"韩建河山,建研院,台华新材"
6,中泰证券股份有限公司绍兴环城北路证券营业部,3,241.33,2,343.68,1,"蓝黛传动,傲农生物,英飞特"
7,财富证券有限责任公司天津烟台道证券营业部,1,1196.79,1,0.0,0,京能置业
8,中信证券股份有限公司上海溧阳路证券营业部,9,18533.91,5,4207.89,4,"士兰微,启迪设计,海马汽车,"
9,爱建证券有限责任公司重庆火炬大道证券营业部,3,542.62,2,569.8,1,"天宇股份,傲农生物"
10,中信建投证券股份有限公司广州市黄埔东路证券营业部,1,1055.34,1,0.0,0,京能置业
11,华福证券有限责任公司厦门分公司,1,624.35,1,0.0,0,韩建河山
12,海通证券股份有限公司齐齐哈尔和平路证券营业部,1,3.34,1,0.0,0,傲农生物
13,渤海证券股份有限公司天津开发区第二大街证券营业部,1,469.18,1,0.0,0,京能置业
14,中信建投证券股份有限公司厦门观日路证券营业部,1,0.0,0,151.71,1,韦尔股份
15,招商证券股份有限公司厦门湖滨东路证券营业部,1,535.0,1,0.0,0,韩建河山
16,平安证券股份有限公司四川分公司,1,394.15,1,0.0,0,京能置业
17,华泰证券股份有限公司梧州西堤三路证券营业部,2,0.0,0,53.49,2,"辰欣药业,韦尔股份"
18,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,24,3462.37,8,5996.91,16,"赛隆药业,创业黑马,韩建河山,"
19,广发证券股份有限公司汕头梅溪东路证券营业部,1,372.92,1,0.0,0,京能置业
20,东方证券股份有限公司沈阳长江南街证券营业部,1,0.0,0,48.78,1,韦尔股份
21,大通证券股份有限公司沈阳大西路证券营业部,1,294.69,1,0.0,0,韩建河山
22,西藏东方财富证券股份有限公司拉萨金珠西路第二证券营业部,16,5083.87,10,1950.8,6,"建研院,广东骏亚,英派斯,"
23,中信证券股份有限公司上海漕溪北路证券营业部,16,19208.94,12,4074.31,4,"北纬科技,恒信东方,银江股份,"
24,五矿证券有限公司北京广安门外大街证券营业部,1,0.0,0,42.93,1,韦尔股份
25,华福证券有限责任公司泉州分公司,1,0.0,0,667.89,1,韩建河山
26,国泰君安证券股份有限公司上海福山路证券营业部,4,2252.57,2,1381.32,2,"安凯客车,达安股份,傲农生物"
27,国泰君安证券股份有限公司仙居酒坊巷证券营业部,4,378.8,3,968.92,1,"华录百纳,京能置业"
28,中信证券股份有限公司北京中关村大街证券营业部,1,0.0,0,517.95,1,韩建河山
29,华西证券股份有限公司成都东一环路证券营业部,1,0.0,0,0.84,1,傲农生物
30,华泰证券股份有限公司北京雍和宫证券营业部,2,0.0,0,1334.77,2,"卫宁健康,京能置业"
31,中国银河证券股份有限公司厦门虎园路证券营业部,1,0.0,0,355.74,1,韩建河山
32,华泰证券股份有限公司北京广渠门内大街证券营业部,2,966.21,1,848.11,1,"岱勒新材,京能置业"
33,湘财证券股份有限公司上海陆家嘴证券营业部,12,4409.74,6,4355.23,6,"梅轮电梯,建研院,畅联股份,"
34,华鑫证券有限责任公司常州晋陵中路证券营业部,4,496.9,1,3961.69,3,"启迪设计,武汉凡谷,京能置业,"
35,东方证券股份有限公司厦门仙岳路证券营业部,2,0.0,0,2247.29,2,"梦网集团,韩建河山"
36,财富证券有限责任公司杭州庆春路证券营业部,14,3941.98,8,2922.39,6,"京天利,梅轮电梯,启迪设计,"
37,平安证券股份有限公司浙江分公司,9,5150.71,6,5848.96,3,"盐津铺子,安凯客车,武汉凡谷,"
38,华泰证券股份有限公司宁波柳汀街证券营业部,2,386.64,1,5118.25,1,"白云电器,京东方A"
39,广发证券股份有限公司佛山汾江中路证券营业部,1,285.13,1,0.0,0,白云电器
40,中国中投证券有限责任公司湛江吴川证券营业部,1,202.32,1,0.0,0,白云电器
41,财达证券股份有限公司唐山华岩路证券营业部,1,0.0,0,696.11,1,白云电器
42,平安证券股份有限公司深圳金田路证券营业部,1,0.0,0,537.83,1,白云电器
43,国金证券股份有限公司上海奉贤区金碧路证券营业部,44,10930.69,22,8909.92,22,"畅联股份,万马科技,川恒股份,"
44,招商证券股份有限公司北京光明路证券营业部,1,0.0,0,197.48,1,白云电器
45,国泰君安证券股份有限公司郑州黄河路证券营业部,10,6171.45,4,8631.88,6,"畅联股份,华通热力,二六三,"
46,海通证券股份有限公司北京光华路营业部,2,1999.23,1,1577.42,1,畅联股份
47,华西证券股份有限公司南充阆中天马寺街证券营业部,1,870.5,1,0.0,0,畅联股份
48,安信证券股份有限公司北京复兴门外大街证券营业部,1,831.29,1,0.0,0,畅联股份
49,华泰证券股份有限公司无锡解放西路证券营业部,3,526.99,1,2818.58,2,"森霸股份,畅联股份"
50,华泰证券股份有限公司上海共和新路证券营业部,4,1252.39,1,3712.12,3,"森霸股份,广和通,畅联股份"
51,中信证券股份有限公司湖州环城西路证券营业部,4,1617.07,3,1411.39,1,"中通国脉,新华都,安纳达,"
52,长城证券股份有限公司仙桃钱沟路证券营业部,8,3649.56,4,4463.2,4,"武汉凡谷,奥联电子,华通热力,"
53,中国银河证券股份有限公司湖州证券营业部,1,475.25,1,0.0,0,中通国脉
54,光大证券股份有限公司宁波悦盛路证券营业部,1,446.26,1,0.0,0,中通国脉
55,方正证券股份有限公司郴州宜章宜兴路证券营业部,1,405.06,1,0.0,0,中通国脉
56,东方证券股份有限公司义乌工人西路证券营业部,8,5174.04,5,2981.57,3,"中通国脉,开立医疗,海马汽车,"
57,东方证券股份有限公司汕头长平路证券营业部,1,543.85,1,0.0,0,建研院
58,华泰证券股份有限公司启东人民中路证券营业部,1,0.0,0,515.58,1,中通国脉
59,国金证券股份有限公司上海互联网证券分公司,19,5425.91,9,3884.72,10,"恒银金融,开立医疗,万马股份,"
60,华泰证券股份有限公司苏州人民路证券营业部,1,0.0,0,483.58,1,中通国脉
61,东吴证券股份有限公司上海分公司,6,1883.78,4,712.92,2,"建研院,哈三联,电工合金"
62,中国银河证券股份有限公司金华证券营业部,1,0.0,0,445.14,1,中通国脉
63,国信证券股份有限公司浙江分公司,6,0.0,0,5813.04,6,"安凯客车,紫光国芯,电工合金,"
64,招商证券股份有限公司深圳蛇口工业七路证券营业部,2,2522.88,1,1137.71,1,"天宇股份,建研院"
65,中信证券股份有限公司上海东方路证券营业部,2,9216.62,1,714.61,1,"方大炭素,建研院"
66,中信证券股份有限公司北京紫竹院路证券营业部,2,0.0,0,903.17,2,"*ST三维,建研院"
67,国泰君安证券股份有限公司荆州便河东路证券营业部,1,19.05,1,0.0,0,亚士创能
68,湘财证券股份有限公司汨罗建设路证券营业部,3,1704.38,2,2268.51,1,"韦尔股份,大理药业"
69,南京证券股份有限公司上海西藏南路证券营业部,2,0.16,1,692.59,1,"亚士创能,川金诺"
70,方正证券股份有限公司长沙留芳岭证券营业部,1,0.0,0,1.86,1,亚士创能
71,申万宏源证券有限公司天津吴家窑大街证券营业部,1,0.0,0,1.86,1,亚士创能
72,上海证券有限责任公司大统路证券营业部,1,0.0,0,1.86,1,亚士创能
73,华泰证券股份有限公司吴江盛泽镇市场路证券营业部,1,0.0,0,75.6,1,韦尔股份
74,海通证券股份有限公司牡丹江牡丹街证券营业部,1,0.0,0,1.86,1,亚士创能
75,东莞证券股份有限公司北京分公司,4,1685.79,2,939.6,2,"奥联电子,吉大通信,韦尔股份"
76,方正证券股份有限公司上海延安西路证券营业部,5,122.65,5,0.0,0,"傲农生物,天目湖,拉夏贝尔,"
