,code,name,bamount,bcount,samount,scount,net
0,600136,当代明诚,2857.62,2,0.0,0,2857.62
1,300244,迪安诊断,1412.11,1,0.0,0,1412.11
2,000301,东方市场,2218.93,5,938.63,5,1280.31
3,300141,和顺电气,415.0,1,0.0,0,415.0
4,002384,东山精密,3398.7,3,3334.72,2,63.98
5,300654,世纪天鸿,14.95,1,3.25,2,11.7
6,300705,九典制药,0.0,0,1.6,1,-1.6
7,002902,铭普光磁,0.0,0,2.84,1,-2.84
8,603533,掌阅科技,0.0,0,7.2,4,-7.2
9,603363,傲农生物,0.0,0,7.33,3,-7.33
10,603367,辰欣药业,0.0,0,8.15,2,-8.15
11,603157,拉夏贝尔,0.0,0,9.69,2,-9.69
12,603378,亚士创能,0.0,0,10.01,3,-10.01
13,601086,国芳集团,0.0,0,12.12,5,-12.12
14,603963,大理药业,0.0,0,13.66,1,-13.66
15,002901,大博医疗,0.0,0,18.46,3,-18.46
16,300613,富瀚微,1378.73,2,1533.33,2,-154.6
17,002900,哈三联,0.0,0,295.93,1,-295.93
18,000756,新华制药,4301.3,3,4650.28,3,-348.98
19,002432,九安医疗,0.0,0,400.18,1,-400.18
20,002131,利欧股份,0.0,0,524.38,1,-524.38
21,300520,科大国创,246.72,1,832.01,1,-585.29
22,603106,恒银金融,0.0,0,829.03,2,-829.03
23,000791,甘肃电投,0.0,0,833.4,1,-833.4
24,603055,台华新材,0.0,0,1160.75,4,-1160.75
25,603612,索通发展,0.0,0,1167.36,1,-1167.36
26,600055,万东医疗,0.0,0,1309.73,1,-1309.73
27,300106,西部牧业,0.0,0,1562.66,1,-1562.66
28,300273,和佳股份,0.0,0,1835.23,1,-1835.23
29,002049,紫光国芯,0.0,0,2060.48,2,-2060.48
30,002223,鱼跃医疗,0.0,0,2362.21,1,-2362.21
31,000807,云铝股份,0.0,0,3258.25,1,-3258.25
32,300427,红相电力,0.0,0,3439.98,2,-3439.98
33,600418,江淮汽车,0.0,0,3733.7,1,-3733.7
34,300633,开立医疗,0.0,0,3764.6,3,-3764.6
35,002264,新华都,0.0,0,3956.3,2,-3956.3
36,000829,天音控股,0.0,0,4383.4,1,-4383.4
37,300291,华录百纳,0.0,0,4648.0,2,-4648.0
38,000572,海马汽车,0.0,0,9147.5,3,-9147.5
39,300340,科恒股份,16812.18,3,36166.44,4,-19354.26
