code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,name-2015-1,eps-2015-1,eps_yoy-2015-1,bvps-2015-1,roe-2015-1,epcf-2015-1,net_profits-2015-1,profits_yoy-2015-1,distrib-2015-1,report_date-2015-1,name-2015-2,eps-2015-2,eps_yoy-2015-2,bvps-2015-2,roe-2015-2,epcf-2015-2,net_profits-2015-2,profits_yoy-2015-2,distrib-2015-2,report_date-2015-2,name-2015-3,eps-2015-3,eps_yoy-2015-3,bvps-2015-3,roe-2015-3,epcf-2015-3,net_profits-2015-3,profits_yoy-2015-3,distrib-2015-3,report_date-2015-3,name-2015-4,eps-2015-4,eps_yoy-2015-4,bvps-2015-4,roe-2015-4,epcf-2015-4,net_profits-2015-4,profits_yoy-2015-4,distrib-2015-4,report_date-2015-4,name-2016-1,eps-2016-1,eps_yoy-2016-1,bvps-2016-1,roe-2016-1,epcf-2016-1,net_profits-2016-1,profits_yoy-2016-1,distrib-2016-1,report_date-2016-1,name-2016-2,eps-2016-2,eps_yoy-2016-2,bvps-2016-2,roe-2016-2,epcf-2016-2,net_profits-2016-2,profits_yoy-2016-2,distrib-2016-2,report_date-2016-2,name-2016-3,eps-2016-3,eps_yoy-2016-3,bvps-2016-3,roe-2016-3,epcf-2016-3,net_profits-2016-3,profits_yoy-2016-3,distrib-2016-3,report_date-2016-3,name-2016-4,eps-2016-4,eps_yoy-2016-4,bvps-2016-4,roe-2016-4,epcf-2016-4,net_profits-2016-4,profits_yoy-2016-4,distrib-2016-4,report_date-2016-4
603138,N海量,软件服务,北京,27.06,0.21,0.82,40168.92,33864.15,1368.15,982.8,0.12,0.532,2.7,5.33,20170306,8232.1,1.0,20.22,20.58,20.52,9.27,20596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,海量数据,0.59,12.64,2.11,31.59,0.75,3616.38,15.46,,02-13,,,,,,,,,,,海量数据,0.3,,2.27,13.43,-0.35,1868.74,,,09-13,,,,,,,,,,,海量数据,0.71,20.58,2.68,29.37,0.71,4360.49,20.58,,02-13
300618,N寒锐,小金属,江苏,32.32,0.3,1.2,80345.5,53050.67,21414.82,13453.65,1.12,0.555,4.15,4.32,20170306,12583.58,1.05,-20.24,134.5,23.2,8.96,53659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,寒锐钴业,0.32,-5.88,3.2,10.9,1.03,2838.99,-5.91,,02-14,,,,,,,,,,,寒锐钴业,0.2,,3.46,6.03,0.32,1786.84,,,11-21,,,,,,,,,,,寒锐钴业,0.74,131.25,4.15,20.75,1.65,6657.5,134.5,,02-14
603578,N三星,玻璃,浙江,32.56,0.22,0.88,29902.66,19808.64,7260.71,6384.37,0.73,0.542,3.35,5.27,20170306,7408.62,0.84,14.72,26.46,28.48,17.44,23239,,,,,,,,,,,三星新材,0.38,52.0,3.23,11.13,,2491.77,53.54,,08-17,,,,,,,,,,,三星新材,0.57,9.62,,17.87,0.6,3772.46,9.55,10派3,02-13,,,,,,,,,,,三星新材,0.38,0.0,3.51,11.05,,2528.37,1.47,,08-26,,,,,,,,,,,三星新材,0.72,26.32,3.35,20.29,0.63,4770.53,26.46,,02-13
002851,N麦格,电气设备,深圳,28.39,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,3.39,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,81113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麦格米特,0.42,50.12,4.36,10.25,0.1,5657.94,50.13,,02-14,,,,,,,,,,,麦格米特,0.32,,4.67,7.18,0.43,4317.09,,,12-09,,,,,,,,,,,麦格米特,0.82,93.83,5.17,17.27,0.54,10967.69,93.85,,02-14
600577,精达股份,电气设备,安徽,47.5,14.19,19.55,464126.91,303377.16,87776.36,2283.4,0.01,0.08800000000000001,1.45,3.85,20020911,75476.34,0.39,-7.45,42.05,11.3,2.92,141680,精达股份,0.04,-20.0,,1.31,,3612.22,1.98,,04-28,精达股份,0.04,-63.33,,3.09,,8594.84,0.66,,07-30,,,,,,,,,,,精达股份,0.07,-58.82,,4.64,,12984.69,-3.73,10派0.6,03-15,精达股份,0.02,-50.0,,1.61,,4489.19,24.28,,04-28,精达股份,0.06,31.82,,4.03,,11293.23,31.4,,08-05,精达股份,0.09,41.94,,6.14,,17197.26,42.05,,10-29,精达股份,0.11,57.14,,7.83,,22391.93,72.45,,03-07
300024,机器人,专用机械,辽宁,106.49,15.14,15.6,698857.75,447311.44,49769.73,265032.78,1.7,0.159,3.45,6.55,20091030,102361.67,0.66,8.87,7.19,32.28,19.94,148032,机器人,0.08,-50.0,3.06,2.63,-0.29,5147.09,11.02,,04-27,机器人,0.24,20.0,3.18,7.82,-0.32,15743.34,21.54,,08-26,机器人,0.35,19.7,3.25,11.37,-0.45,23179.82,21.08,,10-27,机器人,0.6,20.0,,16.72,,39482.35,21.23,10派1送4转8,03-10,机器人,0.08,0.0,,1.03,,5410.86,5.12,,04-23,机器人,0.11,-54.17,3.4,3.13,-0.17,16570.13,5.25,,08-26,机器人,0.16,-54.29,,4.68,,24846.36,7.19,,10-27,,,,,,,,,,
300222,科大智能,电气设备,上海,75.82,2.8,7.28,469687.5,267493.5,18312.42,276462.88,3.8,0.27,4.86,4.81,20110525,41199.56,0.57,79.65,94.45,39.25,16.23,33349,科大智能,0.07,133.33,7.94,0.92,-0.24,1187.1,215.59,,04-27,科大智能,0.2,5.26,4.12,4.68,-0.04,6158.71,162.78,10转8,08-19,科大智能,0.15,-50.35,2.31,6.52,-0.02,8659.76,105.87,,10-24,科大智能,0.24,-54.51,,10.07,,13668.87,77.78,,03-22,,,,,,,,,,,科大智能,0.12,-40.0,3.98,5.02,-0.11,7449.98,20.97,,08-18,科大智能,0.27,75.44,,8.09,,16838.51,94.45,,10-28,,,,,,,,,,
300128,锦富技术,元器件,江苏,261.8,3.25,4.79,351582.94,200520.2,52855.8,130508.92,2.72,0.08,4.1,5.08,20101013,44281.53,0.92,-5.74,77.0,12.92,1.28,19633,锦富技术,-0.02,-121.36,5.21,-0.49,-0.04,-1172.68,-127.17,,04-23,锦富技术,-0.01,-107.03,4.98,-0.25,0.04,-624.74,-108.46,,08-08,,,,,,,,,,,锦富技术,0.04,-77.78,,0.86,,2158.25,-69.6,10派0.1,04-23,锦富技术,-0.03,15.74,,-0.61,,-1361.47,16.1,,04-23,锦富技术,-0.07,488.98,4.55,-1.62,-0.22,-3584.77,473.81,,08-27,锦富技术,0.0,-71.57,,0.06,,139.59,-72.44,,10-28,锦富技术,0.08,100.0,,1.71,,3820.12,77.0,10派0.1转8,03-04
300044,赛为智能,软件服务,深圳,140.1,2.36,3.42,162204.27,88558.38,13110.88,16324.86,0.48,0.096,2.27,7.92,20100120,24436.26,0.71,18.8,84.31,19.15,9.43,40654,赛为智能,0.02,-82.31,2.92,0.55,-0.26,355.41,-82.41,,04-27,,,,,,,,,,,赛为智能,0.08,-41.09,2.97,2.72,-0.24,1789.11,-41.39,,10-27,赛为智能,0.35,52.17,,11.26,,7745.72,47.67,,03-29,赛为智能,0.03,77.99,,0.86,,633.18,78.16,,04-21,赛为智能,0.08,73.0,2.25,3.83,-0.21,2535.7,159.4,,08-26,,,,,,,,,,,,,,,,,,,,
300429,强力新材,化工原料,江苏,67.19,0.99,2.57,107205.77,45132.4,27419.05,38169.84,1.48,0.38,3.66,9.01,20150324,28561.76,1.11,32.4,41.66,44.33,29.21,8339,,,,,,,,,,,,,,,,,,,,,强力新材,0.91,7.06,7.29,14.17,0.38,6677.49,30.95,,10-27,,,,,,,,,,,,,,,,,,,,,强力新材,0.7,19.76,8.02,8.89,0.51,5600.96,37.27,10转21,08-24,强力新材,0.38,-58.25,,13.66,,9459.24,41.66,,10-29,,,,,,,,,,
