code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
1,,,,,,,22.73,30.0479,96163.0,6.7206,,,,,,,,10.4181,23.3305,14.6671,-9.8266,23.3305
2,万科A,1.64,14.69,19.14,1811940.62,15.08,9.26,29.3525,195549.13,17.6941,88.7906,4.0545,0.4029,893.5219999999999,0.3865,931.436,33.5828,34.54,17.6162,20.237000000000002,14.6853,13.6324
4,国农科技,0.01,-70.2,1.54,124.71,-67.19,1.03,35.2808,120.4544,1.4343,53.9117,6.6776,0.3514,1024.4735,0.4079,882.5693,49.4308,-56.1137,3.7561,17.8522,-70.2,1.5539
5,世纪星源,-0.06,-226.27,-8.07,-5523.93,-227.98,-65.66,31.5214,84.126,0.0794,2.2164,162.4256,0.3567,1009.2515,0.165,2181.8182,59.3989,-225.1779,81.1515,60.5376,-226.2712,71.5224
6,深振业A,0.31,-17.96,9.77,41675.28,-17.97,11.4,34.6431,3654.3095,2.7069,236.3431,1.5232,0.3139,1146.8621,0.3664,982.5328,56.9229,-14.3755,6.6594,8.0853,-17.9644,6.2554
7,全新好,0.06,-146.37,3.87,1399.62,-146.35,14.14,78.1343,98.9615,0.4284,2.2501,159.9929,1.319,272.934,0.2645,1361.0586,-50.0442,,4.154,-29.4541,-146.3657,4.0316
8,,,,,,,14.33,47.4828,1295.0761,0.5375,3.4586,104.0884,4.2828,84.0572,1.3721,262.3715,321.5999,2345.2654,386.0129,432.523,160.0,408.9789
9,中国宝安,0.5,150.0,19.7,78901.06,160.12,16.21,33.4472,4865.3514,3.0559,5.4957,65.5058,0.5243,686.6298,0.429,839.1608,12.8465,104.4019,20.6432,23.0172,150.0,36.4488
10,美丽生态,0.05,-142.74,4.05,3344.36,-144.86,3.49,20.9135,957.3793,1.3568,4.0403,89.1023,0.9616,374.376,0.4626,778.2101,315.7102,,295.7238,543.4391,-142.7445,298.2058
11,深物业A,0.26,-62.44,7.59,15682.0,-62.44,14.55,39.8031,1077.4185,1.8078,32.9701,10.919,0.2708,1329.3944,0.3143,1145.4025,-15.0603,-62.4382,1.2368,12.7849,-62.4411,1.2373
12,南玻A,0.3,-28.57,7.7,62475.31,-28.49,8.4,21.6138,7430.8891,3.5805,19.2701,18.6818,15.7198,22.9011,4.2066,85.5798,5.4849,-31.9157,-8.9682,2.4661,-28.5714,-5.6806
