code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
5,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,-2.59,5.1779,872.9627,1.4482,3.9210000000000003,45.9067,9.9673,18.0591,0.4351,413.69800000000004,25.1222,,324.601,-33.8148,-55.5556,231.2979
39,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,
55,方大集团,0.19,175.14,,9.37,,22800.33,328.93,,08-01,16.28,35.4583,1399.7109,1.1825,0.6448,279.1563,0.4623,389.3576,0.2611,689.3910000000001,38.6599,367.8725,72.1576,21.1264,175.1429,78.2964
58,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,
100,TCL集团,0.08,70.56,1.94,4.47,0.28,103384.47,70.68,,08-02,1.98,20.8541,52174.5173,4.2718,3.717,48.4262,3.2299,55.7293,0.6696,268.8172,7.9269,110.82700000000001,20.6334,17.2991,70.5645,-1.6942
156,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,
418,小天鹅A,1.16,26.09,,11.69,,73154.05,25.95,,08-05,6.92,25.612,10568.0609,16.7087,6.8447,26.2977,5.5967,32.1618,0.6156,292.3977,32.3524,25.2416,15.5868,20.4905,26.087,16.0876
419,,,,,,,,,,,,,,,,,,,,,,,,,,
420,吉林化纤,0.03,209.57,,2.1,,5725.66,655.89,,07-29,5.71,12.4695,1001.2138,0.508,7.8825,22.8354,3.0347,59.3139,0.6034,298.3096,72.3712,1751.2866,2.9201,12.0905,209.5745,3.0709
507,,,,,,,,,,,,,,,,,,,,,,,,,,
514,渝开发,0.06,784.13,,1.59,,4701.37,790.76,,07-29,8.3,22.1194,565.9529,0.6707,63.9889,2.813,0.121,1487.6033,0.1108,1624.5487,73.6885,,2.9803,-7.6434,784.127,6.2657
534,,,,,,,,,,,,,,,,,,,,,,,,,,
536,华映科技,0.03,-94.98,,0.55,,7074.09,-82.21,10派1,08-09,3.34,14.347999999999999,2115.3163,0.7647,1.1598,155.1992,5.5312,32.5427,0.1672,1076.555,8.8461,-82.6037,308.4629,110.2971,-94.9843,319.1365
537,广宇发展,0.05,-72.22,,1.17,,2676.6,-70.52,,08-08,1.86,20.908,1436.2689,2.8012,1886.9064,0.0954,0.0676,2662.7219,0.0756,2380.9524,99.3057,-67.4072,14.2749,78.2141,-72.2222,12.2602
540,,,,,,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,
548,湖南投资,0.25,167.02,,7.8,,12528.21,167.08,,08-05,14.72,32.9043,850.5452,1.7037,10.9392,16.4546,0.6519,276.116,0.5418,332.2259,861.2343,189.0003,8.395,-9.5775,167.0213,9.1895
560,,,,,,,,,,,,,,,,,,,,,,,,,,
563,陕国投A,0.09,-5.46,,3.45,,26751.88,-5.46,,07-31,51.52,68.7921,519.2419,0.168,,,,,,,,-5.4626,1.5466,26.4049,-5.4585,1.5466
576,,,,,,,,,,,,,,,,,,,,,,,,,,
584,友利控股,0.06,-218.9,,2.59,,3973.3,-218.9,,08-03,7.02,18.1514,565.6197,0.9222,4.1557,43.31399999999999,0.5416,332.3486,0.2866,628.053,45.7376,,-18.9885,24.8557,-218.8991,-17.844
595,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,
608,阳光股份,-0.11,-38.89,,-2.81,,-7884.2,-41.91,,08-01,-21.37,42.5732,368.861,0.4918,6.9054,26.0666,0.1181,1524.1321,0.0922,1952.2777,57.5003,,-9.4737,-3.0977,-38.8889,-12.9498
609,,,,,,,,,,,,,,,,,,,,,,,,,,
612,焦作万方,0.09,16.67,,2.36,,10775.23,17.65,,07-29,4.71,1.8448,2284.6615,1.9163,51.2148,3.5146,3.6216,49.7018,1.6962,106.1196,5.7147,17.6539,-4.7178,-11.6321,16.6667,-4.7178
627,天茂集团,,,,4.59,,62581.67,-24.62,,07-20,223.06,17.2502,280.5525,0.0658,6.9411,25.9325,0.4992,360.5769,0.0138,13043.4783,13.2824,4.9935,8.1378,18.1849,-100.0,5.4053
631,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,,,,,,,,,,,,
663,永安林业,0.02,0.0,,0.3,,648.88,-4.64,,07-29,1.21,24.0254,534.8345,1.5684,0.8377,214.8741,0.5023,358.3516,0.2489,723.182,-16.3013,-28.2883,5.9426,8.1044,0.0,5.983
705,浙江震元,0.13,63.43,,3.23,,4268.56,63.46,,08-04,3.4,15.7148,1254.4557,3.7544,2.8035,64.2055,2.9201,61.6417,1.0945,164.4587,6.2717,65.2516,6.15,4.3039,63.4271,5.5876
710,,,,,,,,,,,,,,,,,,,,,,,,,,
711,京蓝科技,0.15,-266.67,,3.34,,10061.74,-773.68,,07-29,21.06,34.8713,477.621,0.7334,1.206,149.2537,0.2689,669.3938,0.1715,1049.5627,1527.1126,,1010.9522,1274.1525,-266.6667,1001.1584
716,黑芝麻,0.04,33.33,,1.57,,2758.17,29.35,,08-02,2.95,27.6594,932.3733,1.4623,5.6292,31.9761,1.9569999999999999,91.9775,0.6945,259.1793,27.4235,37.0885,3.1766,16.18,33.3333,1.2993
717,韶钢松山,0.27,-383.83,,82.91,,64964.78,-383.91,,07-29,5.73,9.6201,11336.6476,4.6854,34.6984,5.1876,5.5392,32.4957,2.8494,63.1712,96.0206,,779.3077,-8.4281,-383.8266,779.3077
725,,,,,,,,,,,,,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,,,,,,,,
755,*ST三维,-0.51,-16.39,,-56.68,,-23807.02,-17.31,,08-08,-21.3,-1.7262,1117.3371,2.381,13.3341,13.4992,3.2473,55.4307,0.8271,217.6279,-43.5543,,-69.7627,-2.9699,-16.3934,-67.53699999999999
757,,,,,,,,,,,,,,,,,,,,,,,,,,
759,中百集团,0.2,-322.22,,4.48,,13621.12,-318.09,,07-29,1.76,21.5915,7701.6472,11.3089,98.8385,1.8212,4.0676,44.2521,2.3168,77.6934,-4.0087,,8.1128,-3.6665,-322.2222,5.1463
760,,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,,,,,,,,,,,,,,,,,,,,,
768,,,,,,,,,,,,,,,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,,,,,,
797,,,,,,,,,,,,,,,,,,,,,,,,,,
798,,,,,,,,,,,,,,,,,,,,,,,,,,
