code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,earnings,fluctuate
000001,平安银行,0.31,-27.91,2.89,621400.0,2.1,22.42,29.6911,27712.0,1.6139,,,,,,,,2.1032,10.7534,12.1231,-27.907,10.7534,20.0,30.0
000002,万科A,0.06,-16.0,0.61,69541.16,-16.54,3.74,29.8041,18589.2288,1.6839,9.7588,9.2224,0.0272,3308.8235,0.0249,3614.4578,27.2249,-11.2538,16.7476,34.5937,-16.0,13.2503,10.0,40.0
000004,国农科技,-0.01,-50.88,-0.98,-117.8,-50.76,-10.83,17.1983,10.8682,0.1294,7.2339,12.4414,0.9825,91.6031,0.0807,1115.2416,-19.3809,,10.0147,-45.5401,-50.8772,51.1986,-30.0,50.0
000005,世纪星源,-0.01,50.0,-0.79,-1014.03,49.03,-14.19,34.0668,71.4498,0.0674,0.4538,198.3253,0.1097,820.4193,0.0724,1243.0939,64.5492,,11.5058,23.7132,50.0,11.4259,-20.0,30.0
000006,深振业A,0.08,112.43,2.05,10385.88,112.79,8.89,22.6901,1167.9075,0.8651,170.8215,0.5269,0.1217,739.5234,0.1046,860.4207,205.3457,125.5046,15.3688,3.7898,112.4309,15.0434,10.0,20.0
000007,全新好,,,0.07,27.69,-96.39,2.37,80.2736,11.6476,0.0504,6.4183,14.0224,20.1238,4.4723,0.0516,1744.186,41.3201,-136.3779,-2.5813,-13.0455,-100.0,-1.731,20.0,20.0
000008,,,,,,,4.61,39.2168,202.4655,0.07200000000000001,0.1269,709.2199,0.2017,446.2072,0.047,1914.8936,-4.7968,-16.873,9.6262,17.4818,-6.8966,9.5982,-10.0,20.0
000009,中国宝安,0.02,-22.0,0.75,3347.2,11.06,2.64,33.186,1266.6377,0.5893,0.889,101.2373,0.1076,836.4312,0.08800000000000001,1022.7273,-8.2035,-18.0963,22.477,20.5838,-22.0,1.3805,-0.0,20.0
000010,美丽生态,-0.03,-22.06,-1.16,-2550.81,-22.01,-24.29,22.3979,105.0011,0.128,0.3157,285.0808,0.047,1914.8936,0.0371,2425.876,-13.4044,,2.1738,-14.4681,-22.0551,2.2107,-20.0,40.0
000011,,,,,,,29.03,74.7318,1038.6835,1.7428,30.9595,2.907,0.1031,872.9389,0.1903,472.9375,429.7262,52167.629,29.1054,18.8559,50510.0,29.1174,20.0,40.0
000012,南玻A,0.08,-20.0,2.15,17013.09,-16.94,7.44,23.6715,2284.8209,1.1009,3.0594,29.4175,3.2128,28.0129,0.8469,106.2699,17.2051,-13.9598,2.838,14.6288,-20.0,-1.2033,-0.0,20.0
000014,,,,,,,-3.46,12.5821,97.0396,0.481,76.9728,1.1692,0.0627,1435.4067,0.0598,1505.0167,199.9511,,3.0076,-21.2098,-30.4167,3.1853,0.0,10.0
000016,深康佳A,0.01,211.43,0.9,2624.54,211.35,0.56,14.1512,4686.319,1.9461,2.1565,41.7343,0.8226,109.4092,0.3334,269.946,15.0776,89.9865,12.4083,36.2149,211.4286,3.7876,20.0,30.0
000017,深中华A,0.0,33.33,1.47,21.23,45.07,0.91,11.3023,23.3032,0.0422,1.7476,51.4992,7.0097,12.8394,0.5089,176.852,5.9272,68.3815,29.6775,-16.0095,33.3333,22.4122,-10.0,30.0
000018,,,,,,,9.34,25.2075,1059.8656,0.624,0.2704,332.8402,2.8887,31.1559,0.1389,647.9482,14.6213,30.6199,41.1961,85.9242,-65.986,37.0785,-20.0,40.0
000019,深深宝A,-0.02,7.32,-0.97,-991.8,60.41,-16.59,23.0482,59.7623,0.1323,0.938,95.9488,0.3278,274.5577,0.0983,915.5646,-17.6538,,9.8207,8.0448,7.3171,9.9427,-0.0,30.0
000020,,,,,,,0.21,9.9988,191.8293,0.6774,1.1584,77.6934,4.1299,21.7923,0.5361,167.8791,39.3104,-10.3764,1.5124,6.795,-11.7647,1.5124,-10.0,20.0
000021,,,,,,,3.37,6.1381,3455.8987,2.3489,1.6263,55.3403,2.9272,30.7461,0.4305,209.0592,-3.3397,-19.3242,6.5121,13.5537,-22.7848,5.7113,10.0,10.0
000022,深赤湾A,0.22,14.36,2.9,13884.45,14.54,29.64,44.1527,468.3847,0.7264,2.4169,37.2378,16.6468,5.4064,0.5631,159.8295,6.1099,10.085,7.9105,-0.7941,14.3617,6.3619,20.0,50.0
000023,深天地A,0.08,-2630.0,2.68,1053.15,-2602.21,4.58,7.3793,229.8638,1.6566,0.3571,252.0302,0.5332,168.7922,0.1686,533.8078,28.6215,14473.3382,4.0285,2.363,-2630.0,3.6926,-0.0,40.0
000025,,,,,,,5.53,24.9537,81.1478,0.2729,116.1085,0.7751,6.5385,13.7646,0.2388,376.8844,1.7899,-41.2703,3.0963,2.8513,-27.0531,2.9195,20.0,60.0
000026,飞亚达A,0.1,66.34,1.89,4531.9,66.3,5.54,40.1592,817.0022,1.8621,2.5335,35.524,0.2494,360.8661,0.2939,306.2266,11.4659,66.8183,3.7819,-4.8425,66.3446,3.7891,-10.0,20.0
000027,,,,,,,4.38,21.8352,2563.0604,0.6465,0.6769,132.9591,1.2648,71.1575,0.1723,522.3447,26.9308,-50.2929,1.54,14.6997,-45.0485,1.4493,-0.0,10.0
000028,国药一致,0.64,16.58,3.17,27256.43,36.95,2.66,10.4129,10222.4598,23.8771,1.206,74.6269,2.3679,38.0084,0.5774,155.8711,44.9204,43.9107,59.5518,51.8407,16.5756,54.3193,0.0,20.0
000029,,,,,,,12.72,25.6627,272.0384,0.2689,2.3004,39.1236,0.114,789.4737,0.0833,1080.4322,-18.2021,11.1948,14.3836,-9.8339,11.039,13.5161,,
