,code,name,date,count,ratio
0,002587,奥拓电子,2020-12-29,410.00,0.67
1,601668,中国建筑,2020-12-29,8671.00,0.29
2,300124,汇川技术,2020-12-28,22.50,0.01
3,600271,航天信息,2020-12-27,481.20,0.26
4,002434,万里扬,2020-12-26,16528.93,12.24
5,300390,天华超净,2020-12-25,790.89,2.30
6,002171,楚江新材,2020-12-23,355.75,0.66
7,002415,海康威视,2020-12-23,2354.71,0.26
8,000851,高鸿股份,2020-12-22,826.29,1.31
9,002153,石基信息,2020-12-19,13942.88,13.07
10,000008,神州高铁,2020-12-09,30.00,0.01
11,000426,兴业矿业,2020-12-09,14164.79,7.58
12,300340,科恒股份,2020-12-09,125.21,1.06
13,000656,金科股份,2020-12-08,257.50,0.05
14,300124,汇川技术,2020-12-06,1318.54,0.79
15,300425,环能科技,2020-12-03,107.83,0.58
16,300412,迦南科技,2020-11-25,86.22,0.33
17,000008,神州高铁,2020-11-21,997.38,0.36
18,002086,东方海洋,2020-11-19,20000.00,29.08
19,601012,隆基股份,2020-11-07,377.32,0.19
20,000069,华侨城A,2020-10-19,2066.25,0.25
21,002053,云南能投,2020-10-08,18662.71,33.43
22,300414,中光防雷,2020-10-07,107.21,0.63
23,300051,三五互联,2020-09-30,245.97,0.66
24,300547,川环科技,2020-09-30,329.57,5.51
25,002235,安妮股份,2020-09-26,769.45,1.86
26,600721,百花村,2020-09-26,716.04,1.79
27,600664,哈药股份,2020-09-25,1455.45,0.57
28,002172,澳洋科技,2020-09-23,772.60,1.05
29,002389,南洋科技,2020-09-21,1036.05,1.46
30,300073,当升科技,2020-09-15,507.53,1.39
31,002426,胜利精密,2020-09-10,3744.46,1.09
32,002271,东方雨虹,2020-08-25,1578.15,1.79
33,600715,文投控股,2020-08-18,36492.94,22.13
34,000623,吉林敖东,2020-08-04,1406.20,1.57
35,300232,洲明科技,2020-07-30,395.70,0.63
36,300377,赢时胜,2020-07-21,91.20,0.31
37,000603,盛达矿业,2020-07-18,7185.94,9.94
38,300327,中颖电子,2020-07-18,1.21,0.01
39,600027,华电国际,2020-07-18,115000.00,11.66
40,300358,楚天科技,2020-07-10,0.00,0.00
41,600651,飞乐音响,2020-07-08,222.73,0.22
42,002131,利欧股份,2020-07-04,896.97,0.56
43,300054,鼎龙股份,2020-07-01,713.64,0.74
44,300481,濮阳惠成,2020-06-30,7920.00,49.50
45,600490,鹏欣资源,2020-06-30,19273.37,10.24
46,300439,美康生物,2020-06-28,304.28,0.87
47,601020,华钰矿业,2020-06-22,141.91,0.27
48,300461,田中精机,2020-06-14,115.91,1.64
49,300015,爱尔眼科,2020-06-08,661.95,0.44
50,600219,南山铝业,2020-06-06,216314.20,23.38
51,300351,永贵电器,2020-06-02,409.42,1.06
52,002591,恒大高新,2020-05-31,3163.02,10.83
53,603196,日播时尚,2020-05-31,17460.00,72.75
54,603901,永创智能,2020-05-29,21600.00,54.00
55,603998,方盛制药,2020-05-27,195.25,0.45
56,002043,兔宝宝,2020-05-26,991.80,1.15
57,300462,华铭智能,2020-05-26,5339.04,38.76
58,300659,中孚信息,2020-05-26,2507.54,30.73
59,000590,启迪古汉,2020-05-25,1614.00,6.74
60,002439,启明星辰,2020-05-25,237.71,0.27
61,002876,三利谱,2020-05-25,2127.59,26.60
62,603580,艾艾精工,2020-05-25,4512.50,67.68
63,600990,四创电子,2020-05-24,2247.71,14.12
64,601689,拓普集团,2020-05-24,452.16,0.62
65,601989,中国重工,2020-05-24,71823.20,3.76
66,603855,华荣股份,2020-05-24,12953.00,39.12
