,报表日期,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,5271366335.97,2926405665.99,1325302412.44,4190752366.25,3466217682.36,1953516728.75,843643718.77,7283178136.86,5951021358.02,4691224909.61,2002275254.01,5010165051.21,3950060483.53,2463761149.93,1101288650.37,8432930709.85,7301031037.25,4383702667.99,1242785544.73,10217400174.21,7170534663.61,6768190727.04,1982033788.99,12192376430.95,9523717953.34,6329426346.71,1818380623.48,4292697202.09,2757048602.40,1360243125.84,654852236.43,1712612807.88,1769782382.83,1226387268.84,705482254.59,1997826738.06,1305655974.06,944794262.84,556667840.82,2363100599.34,1257535530.62,772378338.42,320388876.80,1272427872.59,817166091.40,478051724.73,194375003.48,908961239.55,600597120.35,365287399.95,192668889.02,812412199.00,540440748.55,362747158.41,151976733.53,493550860.66,294736578.59,197674407.38,60411226.67,233546140.06,112687415.46,250357954.34,134072642.40,423778080.21,193169605.25,170607786.95,62579061.64,179926245.91,0.0
3,收到的税费返还,52633121.91,41442570.15,11189562.09,64367362.80,16896884.70,11061400.11,5367933.76,47127857.03,15247137.62,10565375.98,8007059.46,16205707.03,7661847.52,7430470.95,1681408.99,20608552.49,18871236.16,18464049.55,831836.33,8807185.15,6947401.12,3027267.68,2655161.64,5059133.24,8724587.90,7834792.45,1295517.40,4332037.90,4634488.29,1419784.51,3264537.12,5592084.87,5065967.06,2920001.09,1825603.00,3639441.88,11934213.77,6719754.90,6670590.00,22657999.56,17415811.34,6084976.32,3451503.25,11960064.21,1880691.12,4618191.38,200000.00,6381933.43,3044191.22,2225786.25,560579.64,4901422.89,4127353.95,3442057.89,1121789.88,12496461.26,9070383.78,6172794.23,2848539.00,16313581.32,4408698.00,40408318.67,19870660.99,30547110.64,13349891.93,27543071.81,10150000.00,10435740.35,0.0
4,收到的其他与经营活动有关的现金,202310571.42,145398658.99,46561388.96,388450317.83,239649674.47,169970540.05,53515244.64,474674945.81,365213757.18,307266175.41,55108469.91,406212843.73,148314447.75,105013487.31,49230539.26,1038580723.18,203866583.55,145262742.59,54974328.00,667113694.96,170926877.07,128055858.74,72017493.76,188601655.93,86883645.49,71486030.12,66949846.55,195661027.89,95844821.07,55577172.48,31369433.70,488820039.85,278040826.70,49730590.70,30654374.53,269996831.28,72493523.73,57018207.40,16473774.74,115476668.86,26703817.08,18318525.93,4837509.74,21919641.06,13363211.48,6165909.53,1754527.49,24800326.54,13310825.24,8129193.95,5553984.78,22208939.23,8610001.32,3345072.60,2138662.13,4781015.29,14990949.40,2545624.60,1902619.49,4782453.86,471990.21,9568841.34,225427.56,16402697.94,13056105.49,6224296.45,14652946.71,3182026.16,0.0
5,经营活动现金流入小计,5526310029.30,3113246895.13,1383053363.49,4643570046.88,3722764241.53,2134548668.91,902526897.17,7804980939.70,6331482252.82,5009056461.00,2065390783.38,5432583601.97,4106036778.80,2576205108.19,1152200598.62,9492119985.52,7523768856.96,4547429460.13,1298591709.06,10893321054.32,7348408941.80,6899273853.46,2056706444.39,12386037220.12,9619326186.73,6408747169.28,1886625987.43,4492690267.88,2857527911.76,1417240082.83,689486207.25,2207024932.60,2052889176.59,1279037860.63,737962232.12,2271463011.22,1390083711.56,1008532225.14,579812205.56,2501235267.76,1301655159.04,796781840.67,328677889.79,1306307577.86,832409994.00,488835825.64,196329530.97,940143499.52,616952136.81,375642380.15,198783453.44,839522561.12,553178103.82,369534288.90,155237185.54,510828337.21,318797911.77,206392826.21,65162385.16,254642175.24,117568103.67,300335114.35,154168730.95,470727888.79,219575602.67,204375155.21,87382008.35,193544012.42,0.0
6,购买商品、接受劳务支付的现金,3643364148.28,2172603439.07,993504940.64,2862988479.06,1400517804.54,787568315.93,458934958.84,3317795843.55,2579932594.05,1697557340.81,813829869.68,3059721258.98,2270515332.40,1508615161.73,605422265.79,5949111387.13,3886297781.12,2480313037.75,1019383448.50,6875789816.08,3237387491.02,2573972154.77,1125409828.19,6548662926.20,4312660555.87,3621317314.87,676914874.48,2026512566.56,1448258857.56,520878145.15,374092815.79,1587750040.52,1635230201.39,656842424.95,370537272.72,1546893750.61,867403402.04,685566874.00,388778063.44,1491298726.53,621167228.89,394063848.31,181877376.11,807969882.00,432354667.11,291771536.41,95301813.23,656739594.07,421803635.78,281176768.38,161771281.02,657582132.21,441066043.97,250674937.40,77361789.94,393053760.10,228729890.70,146949674.99,31487969.63,106357201.99,53694540.27,208681477.84,102512459.47,173262588.29,83591691.80,123322589.21,71548156.70,186456704.73,0.0
7,支付给职工以及为职工支付的现金,625484959.94,428960722.40,213385255.18,794375552.93,586751578.82,388050207.30,195590701.82,822620985.63,596735607.58,419724660.55,216121671.87,838723760.15,624366155.06,416422410.78,226646049.04,812120354.41,572380007.60,392644784.10,220013791.89,767756403.65,541965484.39,350031175.52,183854387.32,638967621.62,481708562.31,283485165.82,139420957.53,471735677.74,334586692.70,193597783.73,108640203.75,363726322.37,238292896.93,156375818.30,82023076.33,257524611.39,187175058.45,105233419.85,53577751.90,171360627.89,92309709.43,58488757.70,32524037.83,92006816.19,62408770.71,35263904.16,16815080.96,66361417.63,46353877.57,27883509.56,13919188.48,56975600.43,46018842.79,25241776.53,13735383.68,43753188.36,31315504.61,25743835.58,14018775.89,34354686.55,13260251.30,31860433.55,21056149.05,29801577.55,11959408.15,23715917.15,12518312.50,18176852.62,0.0
8,支付的各项税费,457794480.68,270374889.27,141923433.49,546021982.09,362916265.05,209863720.67,74315109.20,693449971.05,550604754.44,449189380.42,176913118.09,507432351.31,404291014.68,297876026.14,152998701.02,951225942.36,737418499.98,530256421.28,362423815.10,3394104302.53,3206917048.13,2522890527.34,1361171426.65,2897208995.04,2623721241.88,1191763654.29,401912719.40,827972304.54,569358851.24,320065209.24,144077884.85,366421654.57,283893806.55,213464090.19,145462203.27,380984179.89,315772817.34,223361178.80,87929154.99,296546880.81,229698563.61,148093833.41,62318481.88,104673631.74,76895609.98,49390016.95,16388131.44,67720153.98,46626815.49,23530051.43,9838922.49,36928293.91,28124489.16,18663734.78,7929039.47,34600266.61,27202429.21,16800748.85,8496303.80,46484895.26,19185152.79,40550184.96,21574637.98,64755505.11,17330591.04,38711543.86,16700114.31,27509228.44,0.0
